model,24_hours_timer,3_speed_and_auto_indoor_fan_control,additional_ref_volume,air_circulation,auto_restart,brand,compressor_mfg,compressor_model_no,compressor_type,connecting_pipe_diameter,cooling_capacity,cooling_operating_temperature_range,cooling_setting_temperature_range,cooling_speed,cooling_speed_super_high_mid_low,cop_for_heating,dimmer,display_on_front_panel,eer_for_cooling,energy_class,gas_pipe,gross_weight_kg,heating_capacity,heating_operating_temperature_range,heating_setting_temperature_range,heating_speed,heating_speed_super_high_mid_low,indoor_fan_motor,indoor_unit_noise_level,lcd_wireless_remote_controller,liquid_pipe,manual_adjustable_horizontal_swing_louver,max_discharge_pressure,max_suction_pressure,model_parameter,model_no,moisture_removal,net_dimensions_w_x_h_x_d_mm,net_weight_kg,outdoor_fan_motor,outdoor_unit_noise_level,packing_dimensions_w_x_h_x_d_mm,power_supply,rated_current,rated_input_cooling,rated_input_heating,refrigerant,refrigerant_charge_volume_5m,removable_and_washable_panel,scop_for_heating,seer_for_cooling,sleep_operation,smart_function,super_function,system_pressures_in_cooling_rated_conditions,type,vertical_auto_swing_louver,voltage_frequency_phase,washable_pp_filter
AST-12UW4RMR**00B,Yes,Yes,20,550,Yes,"Wolong，Welling,Broad-ocean",GMCC,KSK89D59UEZC,Rotary,,3200,19-50,18-32,,1304/1200/1000/851,3.80,Yes,LED,3.30,SEER6.4 A++,3/8,8.6,3300,-15-27,18-32,,1304/1250/1000/851,Indoor fan motor,40,Yes,1/4,Yes,4.15,1.6,DG13Z1D-06,DG13G1D-03,1.2,795×255×197,25,outdoor fan motor,62,850×320×260,,4.5,970,870,R32,660,Yes,,,Yes,Yes,Yes,System pressures in cooling rated conditions,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RVE**00,Yes,Yes,20,600,Yes,weiling,GMCC,KSN98D32UEZ,Rotary,Connecting Pipe Diameter,3500/3500,-15~43,16~30,1150,,,Yes,LED,,A+,3/8,30,4000/3300,-15~24,16~30,800,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,ZWA138D08A,DG13G1-16,1.2,815×270×212,27,outdoor fan motor,63,830×315×530,,4.4,1000,1025,R32,760,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RVE**00A,Yes,Yes,20,600,Yes,Wolong,GMCC,KSN98D32UEZ,Rotary,Connecting Pipe Diameter,3500/3500,-15~43,16~30,1150,,,Yes,LED,,A+,3/8,30,4000/3300,-15~24,16~30,800,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,ZWA138D08A,DG13G1-16,1.2,715×240×482,27,outdoor fan motor,63,830×315×530,,4.4,1000,1025,R32,760,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RVE**00D,Yes,Yes,20,600,Yes,weiling,GMCC,KSN98D32UEZ,Rotary,Connecting Pipe Diameter,3500/3500,-15~43,16~30,1150,,,Yes,LED,,A+,3/8,30,4000/3300,-15~24,16~30,800,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,ZWA138D08A,DG13G1-16,1.2,715×240×482,27,outdoor fan motor,63,830×315×530,,4.4,1000,1025,R32,760,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RVE**00J,Yes,Yes,20,600,Yes,weiling,GMCC,KSN98D32UEZ,Rotary,,3500/3500,-20-46,16-30,1250,,3.9/4.0,Yes,LED,3.5/6.1,A++,3/8,11,4000/3300,-15-24,16-30,1250,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,ZKFN-40-8-38L,DG13G1-16,1.2,950X272X207,9,outdoor fan motor,63,1000×335×260,,4.4,1000,1025,R32,760,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RXE**00B,Yes,Yes,20,620,Yes,WOLONG,GMCC,KSM98D32ULZ,Rotary,,3500/3500,-15~43,16~30,870,,,Yes,LED,,A++,3/8,11,4100/3200,-15~24,16~30,870,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,ZWA228D44B,ZWA108D42B,1.2,906×270×210,9,outdoor fan motor,62,1000×335×260,,4.6,795,1050,R32,1030,Yes,4.6,8.5,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RXR**00,Yes,Yes,20,580,Yes,/,GMCC,KSN98D64UFZ3,Rotary,,3500,",-15-43",16-30,1300,,4.6,Yes,LED,8.5,A+++,3/8,9.5,3900,",-20-24",16-30,1300,,Indoor fan motor,56,Yes,1/4,Yes,4.15,1.6,DG13Z1D-06,DG13G1D-03,1.2,833×256×203,7.7,outdoor fan motor,62,940×630×385,,4,890,1000,R32,800,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RXU**00,Yes,Yes,20,660,Yes,WOLONG,GMCC,KSN98D58UFZ,Rotary,Connecting Pipe Diameter,3500,-15~43,16-30,1200,,,Yes,LED,,A+++,3/8,17,4200,-20-24,16-30,1200,,Indoor fan motor,55,Yes,1/4,Yes,4.15,1.6,ZWA228D44B,ZWA108D02B,1.2,950×295×298,14,outdoor fan motor,61,1060×400×400,,3.5,790,980,R32,860,Yes,5.1,8.5,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RXU**00A,Yes,Yes,20,660,Yes,/,GMCC,KSN98D58UFZA,Rotary,,3500,-15℃-43℃,16-30,/,,4.28,Yes,LED,4.43,A+++,3/8,17,4200,-20℃-24℃,16-30,/,,Indoor fan motor,55,Yes,1/4,Yes,4.15,1.6,/,/,1.2,950×295×298,14,outdoor fan motor,61,1060×400×400,,3.5,790,980,R32,860,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RXV**00,Yes,Yes,20,650,Yes,WOLONG,GMCC,KSN98D58UFZ,Rotary,,3500,-15~43,16-30,870,,5.1,Yes,LED,8.5,A+++,3/8,12.5,4200,-20-24,16-30,1200,,Indoor fan motor,54,Yes,1/4,Yes,4.15,1.6,ZWA108D02B,ZWA108D02B,1.2,810×585×280,33,outdoor fan motor,61,940×630×385,,3.5,790,980,R32,860,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-12UW4RXV**00A,Yes,Yes,20,700,Yes,WOLONG,GMCC,KSN98D58UFZA,Rotary,,3500,-15-43,18-32,1200,,5.1,Yes,LED,8.5,A+++,3/8,12.5,4200,-20-24,18-32,1200,,Indoor fan motor,54(声功率),Yes,1/4,Yes,4.15,1.6,DG13Z1D-06,ZWA108D42B,1.2,877×300×194,10,outdoor fan motor,61(声功率),980×390×300,,3.5,790,980,R32,860,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220~240V,50Hz,1P",Yes
AST-12UW4RXV**00B,Yes,Yes,20,700,Yes,WOLONG,GMCC,KSN98D58UFZA,Rotary,,3500,-15-43,18-32,,1200/1070/950/800,5.1,Yes,LED,8.5,A+++,3/8,37,4000,-20-24,18-32,,1200/1070/950/800,Indoor fan motor,55,Yes,1/4,Yes,4.15,1.6,DG13Z1D-06,ZWA108D42B,1.2,810×280×585,33,outdoor fan motor,65,940×385×630,,4.5,830,1000,R32,860,Yes,,,Yes,Yes,Yes,System pressures in cooling rated conditions,"T1, H/P, INVERTER",Yes,"220~240V,50Hz,1P",Yes
AST-12UW4RXV**01,Yes,Yes,20,630,Yes,WOLONG\WELLING\Zhipu,GMCC,KSN98D64UFZR3,Rotary,,3500,-15-43,16-30,1121,,4.29,Yes,LED,4.43,A+++,3/8,12.5,4200,-25-24,16-30,700,,Indoor fan motor,55(声功率),Yes,1/4,Yes,4.15,1.6,DG13Z1D-06,ZWA108D42B,1.27,883×304×199,10,outdoor fan motor,62(声功率),980×390×300,,3.5,790,980,R32,860,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220V~240V,50Hz,1P",Yes
AST-18UW4RBA**00A,Yes,Yes,20,1000,Yes,Broad-ocean,Hitachi,GTD130UKQA8JT6,Rotary,,5000/5000,-15~43,16~30,990,,,Yes,LED,,A++,1/2,49,5600/4000,-15~24,16~30,1150,,Indoor fan motor,60,Yes,1/4,Yes,4.15,1.6,DG13Z2D-04,K1B310496,2,860×650×310,43,outdoor fan motor,65,995×720×420,,6.3,1280,1400,R32,1220,Yes,4.6,8.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220~240V,50Hz,1P",Yes
AST-18UW4RBS**00,Yes,Yes,20,950,Yes,卧龙,GMCC,KTN150D42UFZB,Rotary,,5000,",-15-43",16-30,1250,,4.6,Yes,LED,7.8,A++,1/2,12.5,5400,",-20-24",16-30,1250,,Indoor fan motor,60,Yes,1/4,Yes,4.15,1.6,ZW511A800002,ZWA108D06B,2,943×300×245,10.5,outdoor fan motor,63,995×365×310,,6.2,1295,1380,R32,1150,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-18UW4RBS**00A,Yes,Yes,20,1100,Yes,大洋,GMCC,KTN150DUFZB,Rotary,,5000,-15~48,16~30,,1250/1200/1000/870,4.60,Yes,LED,7.8,A++,1/2,12,5400,-22~24,16~31,,1250/1200/1000/870,Indoor fan motor,44,Yes,1/4,Yes,4.15,1.6,ZW511A800002,ZWA108D0B,2,860×310×667,44,outdoor fan motor,55,995×365×310,,5.8,1295,1380,R32,1150,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"230V~,50Hz,1P",Yes
AST-18UW4RXA**00,Yes,Yes,20,1000,Yes,"Broad-ocean,Olong",Hatichi,GTD150RDPA8JTA,Rotary,Connecting Pipe Diameter,5000/5000,-15~43,16~30,880,,,Yes,LED,,A++,1/2,42,5600/4700,-15~24,16~30,880,,Indoor fan motor,60,Yes,1/4,Yes,4.15,1.6,K1B310479,DG13G2-07,2,810×585×280,12,outdoor fan motor,65,1000×390×315,,7,1540,1550,R32,1200,Yes,4.0,6.10,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-18UW4RXA**00A,Yes,Yes,20,1000,Yes,"Broad-ocean,Olong",Hatichi,GTD150RDPA8JTA,Rotary,Connecting Pipe Diameter,5000/5000,-15~43,16~30,880,,,Yes,LED,,A++,1/2,42,5600/4700,-15~24,16~30,880,,Indoor fan motor,60,Yes,1/4,Yes,4.15,1.6,K1B310479,DG13G2-07,2,810×585×280,12,outdoor fan motor,65,1000×390×315,,7,1540,1550,R32,1200,Yes,4.0,6.10,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-18UW4RXA**00D,Yes,Yes,20,1000,Yes,"Weiling, Broad-ocean, LT",HIGHLY,GTD150RDPA8JTA,Rotary,,5000,16~51,16-30,1200,,4.0,Yes,LED,6.1,A++,1/2,14,5600,-15-32,1-7-24,/,,Indoor fan motor,60,Yes,1/4,Yes,4.15,1.6,K1B310479,DG13G2-07,2,915×315×229,12,outdoor fan motor,65,1000×390×315,,/,1540,1550,R32,1200,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220~240V,50Hz,1P",Yes
AST-18UW4RXS**01,Yes,Yes,20,950,Yes,"Broad-ocean,Welling,LT,Tongde",GMCC,KTN150D42UFZB,Rotary,,5000,16-51,16-30,1200,,4,Yes,LED,6.1,A,1/2,12,5600,-15-32,-7-24,1200,,Indoor fan motor,59,Yes,1/4,Yes,4.15,1.6,1554431,1992886,1.75,890*300*220,10,outdoor fan motor,65,960*365*300,,6.9,1540,1550,R32,1150,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-18UW4RXS**01 AST-18UR4RXS**01,Yes,Yes,20,880,Yes,"Broad-ocean,Olong",GMCC,KTN150D42UFZB,Rotary,Connecting Pipe Diameter,5000,-15~43,16-30,870,,,Yes,LED,,A++,1/2,12,5600,-15-24,16-30,870,,Indoor fan motor,59,Yes,1/4,Yes,4.15,1.6,K1B310479,DG13G2-10,2.0,890×300×227,10,outdoor fan motor,63,940×630×385,,6.9,1540,1550,R32,1150,Yes,4,6.1,Yes,Yes,Yes,System pressures in cooling rated conditions,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-18UW4RXS**01A,Yes,Yes,20,950,Yes,"Broad-ocean,Welling,LT,Tongde",GMCC,KTN150D42UFZB,Rotary,,5000,16-51,16-30,870,,4,Yes,LED,6.1,A,1/2,12,5600,-15-32,-7-24,1200,,Indoor fan motor,59,Yes,1/4,Yes,4.15,1.6,1554431,1992886,1.75,943*300*235,34,outdoor fan motor,65,940*385*630,,6.9,1540,1550,R32,1150,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-18UW4RXS**01E,Yes,Yes,20,950,Yes,Welling,GMCC,KTN150D42UFZB,Rotary,,5000,-15-43,16-30,870,,4,Yes,LED,6.1,A,1/2,38.5,5600,-15-24,16-30,870,,Indoor fan motor,59,Yes,1/4,Yes,4.15,1.6,2023374DG13Z1D-06-,1992886,1.75,810*280*585,34,outdoor fan motor,65,940*385*630,,6.5,1540,1550,R32,1150,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-18UW4RXS**01F,Yes,Yes,20,950,Yes,"Broad-ocean,Welling,LT,Tongde",GMCC,KTN150D42UFZB,Rotary,,5000,-15-43,16-30,1200,1200/1000/870,3.80,Yes,LED,3.40,A,1/2,12,5000,-15-24,16-30,1000,1200/1000/870,Indoor fan motor,59,Yes,1/4,Yes,4.15,1.6,2023374DG13Z1D-06-,1992886,1.75,890*300*220,10,outdoor fan motor,65,960*365*300,,6.6,1470,1315,R32,1150,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RBB**00,Yes,Yes,20,1100,Yes,Broad-ocean,Hitachi,GTL232UDPC9AU1LB,Rotary,Connecting Pipe Diameter,7000/7000,-15~43,16~30,880,,,Yes,LED,,A+,5/8,52,7100/5300,-15~24,16~30,880,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,DG13Z2D-04,K1B310497,2.5,860×667×310,48,outdoor fan motor,64,1170×390×315,,9.9,2230,2240,R32,1440,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RBB**00B,Yes,Yes,20,1100,Yes,Broad-ocean,Hitachi,GTL232UDPC9AU1LB,Rotary,Connecting Pipe Diameter,7000/7000,-15~43,16~30,880,,,Yes,LED,,A+,5/8,52,7100/5300,-15~24,16~30,880,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,DG13Z2D-04,K1B310497,2.5,1085×315×235,48,outdoor fan motor,64,1170×390×315,,9.9,2230,2240,R32,1440,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RBB**00D,Yes,Yes,20,1100,Yes,Broad-ocean,Hitachi,GTL232UDPC9AU1LB,Rotary,Connecting Pipe Diameter,7000/7000,-15~43,16~30,880,,,Yes,LED,,A+,5/8,15.5,7100/5300,-15~24,16~30,1040,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,DG13Z2D-04,K1B310497,2.5,860×667×310,48,outdoor fan motor,64,1170×390×315,,9.9,2230,2240,R32,1440,Yes,4.0,6.1,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RBB**05,Yes,Yes,30,1100,Yes,"Welling,Broad-ocean,Wolong",海立,GTD226RKQA8LV8,Rotary,,6500,16-43,16-30,850,,/,Yes,LED,/,A++,5/8,46,7100,-15-24,16-30,1000,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,1892229,1994762,1.6,860×310×667,11,outdoor fan motor,64,995×420×720,,9.2,2060,2150,R32,1300,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RBT**01 AST-24UR4RBT**01,Yes,Yes,30,1100,Yes,"Welling,Broad-ocean,Wolong",Hitachi,GTD186UKQA8JT6,Rotary,Connecting Pipe Diameter,6500,-15~43,16-30,1200,,,Yes,LED,,A++,5/8,13.5,7100,-15-24,16-30,1200,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,ZW511A800002,DG13G3D-04,2.2,998×325×232,11.0,outdoor fan motor,64,1060×390×315,,9.2,2060,2150,R32,1300,Yes,4,6.2,Yes,Yes,Yes,System pressures in cooling rated conditions,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RBT**02,Yes,Yes,30,1100,Yes,"Welling,Broad-ocean,Wolong",海立,GTD226RKQA8LV8,Rotary,,6500,16-43,16-30,1200,,/,Yes,LED,/,A++,5/8,46,7100,-15-24,16-30,1000,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,1892229,1994762,1.6,998×325×225,42,outdoor fan motor,64,995×420×720,,9.2,2060,2150,R32,1300,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RBT**02B,Yes,Yes,30,1100,Yes,"Welling,Broad-ocean,Wolong",海立,GTD226RKQA8LV8,Rotary,,6500,16-43,16-30,,1200/1000/850,3.30,Yes,LED,3.16,A++,5/8,13.5,7100,-15-24,16-30,,1200/1000/850,Indoor fan motor,64,Yes,3/8,Yes,4.15,1.6,KD09060068,DG13G3D-04,1.6,998×325×225,11,outdoor fan motor,65,1060×390×315,,9.2,2060,2150,R32,1320,Yes,,,Yes,Yes,Yes,System pressures in cooling rated conditions,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RDB**00A,Yes,Yes,30,1100,Yes,Broad-ocean,HIGHLY,GTL232UDPC9AU1LB,Rotary,Connecting Pipe Diameter,7000,-15~43,16~30,880,,,Yes,LED,,A++,5/8,65,7500,-15~24,16~30,880,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,DG13Z2D-01,K1B310497,2.4,1185×315×231,13,outdoor fan motor,69,1050×890×500,,9.7,2000,2200,R32,1700,Yes,4.6,7.9,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220~240V,50Hz,1P",Yes
AST-24UW4RDB**00B,Yes,Yes,30,1100,Yes,Broad-ocean,HIGHLY,GTL232UDPC9AU1LB,Rotary,,7000,-15~43,16~30,1200,,4.6,Yes,LED,7.9,A++,5/8,15.5,7500,-20~24,16~30,1200,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,DG13Z2D-01,K1B310497,2.4,1185×315×231,13,outdoor fan motor,69,1236×390×315,,8.6,2000,2200,R32,1700,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220~240V,50Hz,1P",Yes
AST-24UW4RKT**00,Yes,Yes,20,1100,Yes,/,GMCC,KTM225D43UMT,Rotary,,7000,-15℃-43℃,16-30,/,,4.6,Yes,LED,7.9,A++,5/8,14.5,7500,-20℃-24℃,16-30,/,,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,/,/,2.2,1032×327×227,12.0,outdoor fan motor,67,1120×390×315,,8.9,2000,2100,R32,1500,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RKT**00A,Yes,Yes,30,1100,Yes,大洋,GMCC,KTM225D43UMT,Rotary,,7000,-15-43,16-30,,1300/1200/1040,4.6,Yes,LED,7.9,A++,5/8,54.0,6500,-20-24,16-30,,1300/1200/1040,Indoor fan motor,63,Yes,3/8,Yes,4.15,1.6,DG13Z2D-06,DG13G3D-04,2.2,900×750×340,12.0,outdoor fan motor,58,1060×820×450,,9.4,2000,1710,R32,1500,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"220-240V~,50Hz,1P",Yes
AST-24UW4RKT**00B,Yes,Yes,30,1100,Yes,威灵,GMCC,KTM225D43UMT,Rotary,,7000,-15-43,16-30,,1300(super)/1200/1040/880,4.60,Yes,LED,7.90,A++,5/8,14.5,7500,-20-24,16-30,,1300(super)/1200/1040/880,Indoor fan motor,45,Yes,3/8,Yes,4.15,1.6,DG13Z2D-06,DG13G3D-04,2.2,1038×325×237,12.0,outdoor fan motor,58,1120×390×315,,9.4,2000,2100,R32,1500,Yes,,,Yes,Yes,Yes,,"T1, H/P, INVERTER",Yes,"230V,50Hz,1P",Yes
